timestamp,soil,temperature,humidity,pH
1760073542.7806704,0,29.20,67.70,
1760073543.2938976,0,29.10,67.70,
1760073543.8099,0,29.30,67.50,
1760073544.3751395,0,29.40,67.30,
1760073546.4080784,0,29.20,67.30,
1760073548.4455843,0,29.40,67.10,
1760073550.4645176,0,29.30,67.00,
1760073552.5015988,0,29.00,67.00,
1760073554.5415618,0,29.40,66.80,
1760073556.5845053,0,29.40,66.70,
1760073558.618885,0,29.50,66.50,
1760073560.6557097,0,29.40,66.60,
1760073562.6921136,0,29.40,66.50,
1760073564.726785,0,29.50,66.40,
1760073566.7686484,0,29.40,66.30,
1760073568.8072686,0,29.40,66.30,
1760073570.8754416,0,29.80,66.00,
1760073572.9120617,0,29.20,66.30,
1760073574.9524252,0,29.60,66.00,
1760073576.9912398,0,29.60,66.00,
1760073579.0304668,0,29.40,66.00,
1760073581.0625794,0,29.40,65.90,
1760073583.0988972,0,29.50,65.80,
1760073585.1356814,0,29.70,65.70,
1760073587.167899,0,29.60,65.60,
1760073589.2050643,0,29.60,65.50,
1760073591.2380447,0,29.60,65.50,
1760073593.2685423,0,29.70,65.40,
1760073595.3063395,0,29.40,65.50,
1760073597.3320096,0,29.60,65.40,
1760073599.3696983,0,29.80,65.10,
1760073601.3955538,0,29.60,65.30,
1760073603.4248326,0,29.40,65.30,
1760073605.4584162,0,29.80,65.10,
1760073607.4863534,0,29.70,65.10,
1760073609.5186667,0,29.80,65.00,
1760073611.5481343,0,29.80,64.90,
1760075776.163508,0,29.20,65.60,
1760075778.1869075,0,29.30,65.30,
1760075780.2109454,0,29.20,65.30,
1760075782.2597723,0,29.30,65.20,
1760075783.7608395,0,29.40,65.00,
1760075785.7977858,0,29.20,65.00,
1760075787.8276544,0,29.50,64.80,
1760075789.8624883,0,29.30,64.80,
1760075791.8842778,0,29.40,64.70,
1760075793.8978987,0,29.40,64.70,
1760075795.9248226,0,29.40,64.70,
1760075797.9410596,0,29.50,64.40,
1760075799.9642465,0,29.50,64.30,
1760075801.9840937,24,29.50,64.20,
1760075804.0188746,23,29.50,64.10,
1760075806.0528932,22,29.60,64.00,
1760075808.0673547,21,29.50,64.00,
1760075810.0967171,21,29.60,63.90,
1760075812.1079435,21,29.60,63.90,
1760075814.1659448,21,29.40,63.90,
1760075816.200554,20,29.60,63.70,
1760075818.2143009,20,29.60,63.70,
1760075820.2267597,23,29.40,63.70,
1760075822.2436368,21,29.80,63.40,
1760075824.2716458,19,29.70,63.50,
1760075826.2958581,20,29.40,63.50,
1760075828.323133,19,29.60,63.30,
1760075830.3479533,19,29.70,63.40,
1760075832.3718796,19,29.40,63.30,
1760075834.3975668,18,29.60,63.30,
1760075836.4218247,17,29.40,63.30,
1760075838.447666,18,29.80,63.10,
1760075840.471712,17,29.90,63.00,
1760075842.4976115,17,29.80,63.10,
1760075844.522269,17,29.80,63.00,
1760075846.5460815,17,29.80,63.00,
1760075848.5764365,17,29.90,62.90,
1760075850.5976722,17,29.90,62.90,
1760075852.6223438,17,29.90,62.90,
1760075854.647398,16,30.00,62.70,
1760075856.671823,17,29.90,62.80,
1760075858.6967962,17,29.70,62.90,
1760075860.720801,17,29.80,62.70,
1760075862.7461138,16,30.00,62.60,
1760075864.7764947,17,29.90,62.70,
1760075866.802988,16,29.80,62.70,
1760075868.828795,16,29.80,62.60,
1760075870.858697,16,29.60,62.70,
1760075872.873775,15,29.70,62.70,
1760075874.8962839,16,30.00,62.60,
1760075876.9201484,16,29.90,62.80,
1760075878.9476347,16,29.90,62.70,
1760075880.9656312,17,29.80,62.70,
1760075882.9972577,16,29.80,62.70,
1760075885.0211189,16,29.70,62.70,
1760075887.0452547,16,29.90,62.50,
1760075889.0804265,17,29.90,62.50,
1760075891.1010075,16,29.70,62.60,
1760076289.4128888,90.0,29.2,63.4,-4.04
1760076290.4286058,97.0,29.2,63.4,-4.19
1760076291.445212,100.0,29.3,64.0,-4.26
1760076292.4553268,100.0,29.3,64.0,-4.54
1760076293.4851246,100.0,29.2,64.2,-4.49
1760076294.504849,100.0,29.2,64.2,-4.78
1760076301.459579,100.0,29.2,64.4,-5.1
1760076302.6760087,100.0,29.2,64.4,-5.04
1760076327.9462223,100.0,29.6,64.1,-5.46
1760076328.9652894,100.0,29.6,64.1,-5.44
1760076329.985589,100.0,29.7,63.7,-5.47
1760076330.9953175,100.0,29.7,63.7,-5.51
1760076332.0047936,100.0,29.7,63.7,-5.44
1760076333.025157,100.0,29.7,63.7,-5.47
1760076334.0425682,100.0,29.9,63.5,-5.54
1760076335.0576885,100.0,29.9,63.5,-5.45
1760076336.084881,100.0,29.8,63.4,-5.35
1760076403.556459,100.0,29.9,63.3,-5.52
1760076404.1050246,100.0,29.9,63.3,-5.48
1760076404.676483,100.0,30.0,62.2,-5.56
1760076405.2350852,100.0,30.0,62.2,-5.5
1760076405.8018456,100.0,29.9,62.3,-5.48
1760076406.3729103,100.0,29.9,62.3,-5.54
1760076406.9056654,100.0,30.0,62.2,-5.56
1760076407.420295,100.0,30.0,62.2,-5.49
1760076407.9553516,100.0,30.0,62.2,-5.51
1760076408.5052495,100.0,30.0,62.2,-5.6
1760076409.4051683,100.0,30.0,62.2,-5.53
1760076410.4551268,100.0,30.0,62.2,-5.48
1760076411.5300856,100.0,30.1,62.1,-5.54
1760076412.5814533,100.0,30.1,62.1,-5.47
1760076424.7852426,100.0,30.0,62.1,-5.57
1760076425.2957234,100.0,30.0,62.1,-5.49
1760076425.7992802,100.0,29.7,62.4,-5.62
1760076426.3041768,100.0,29.7,62.4,-5.55
1760076426.8155239,100.0,29.9,62.2,-5.66
1760076427.3289664,100.0,29.9,62.2,-5.63
1760076427.8366108,100.0,30.0,62.1,-5.65
1760076428.34543,100.0,30.0,62.1,-5.64
1760076428.9352355,100.0,30.0,62.1,-5.69
1760076429.985465,100.0,30.0,62.1,-5.75
1760076431.063224,100.0,29.9,62.2,-5.71
1760076432.114337,100.0,29.9,62.2,-5.65
1760076433.1852624,100.0,30.3,62.0,-5.6
1760076434.2399127,100.0,30.3,62.0,-5.6
1760076435.3150923,100.0,30.0,62.0,-6.15
1760076436.3653574,100.0,30.0,62.0,-5.86
1760076437.4442189,100.0,30.0,62.0,-5.59
1760076438.4951952,100.0,30.0,62.0,-5.43
1760076439.5658894,100.0,29.9,62.2,-5.24
1760076440.6221707,100.0,29.9,62.2,-5.31
1760076441.6980593,100.0,30.0,62.1,-5.4
1760076442.749088,100.0,30.0,62.1,-5.51
1760076443.8252892,100.0,29.9,62.3,-5.58
1760076444.8750389,100.0,29.9,62.3,-5.57
1760076445.9510393,100.0,30.1,62.2,-5.72
1760076447.0009177,100.0,30.1,62.2,-5.67
1760076448.0789783,100.0,29.7,62.4,-5.68
1760076449.129953,100.0,29.7,62.4,-5.75
1760076450.205799,100.0,30.0,62.2,-5.9
1760076451.2550154,100.0,30.0,62.2,-5.71
1760076452.3326845,100.0,29.9,62.3,-5.72
1760076453.3803515,100.0,29.9,62.3,-5.76
1760076454.4597015,100.0,30.0,62.1,-5.56
1760076455.5098221,100.0,30.0,62.1,-5.7
1760076456.5851748,100.0,30.3,62.0,-5.57
1760076457.6376708,100.0,30.3,62.0,-5.51
1760076458.713629,100.0,29.9,62.2,-5.77
1760076459.7651913,100.0,29.9,62.2,-5.7
1760076460.835315,100.0,30.0,62.2,-5.74
1760076461.8911502,100.0,30.0,62.2,-5.66
1760076462.9686568,100.0,30.1,62.2,-5.71
1760076464.018395,100.0,30.1,62.2,-5.69
1760076465.0950062,100.0,30.0,62.1,-5.71
1760076466.145788,100.0,30.0,62.1,-5.71
1760076467.2216878,100.0,30.3,62.1,-5.68
1760076468.2725406,100.0,30.3,62.1,-5.74
1760076469.3455644,100.0,30.2,62.1,-5.72
1760076470.3997397,100.0,30.2,62.1,-5.8
1760076471.4757051,100.0,30.1,62.0,-5.7
1760076472.5265055,100.0,30.1,62.0,-5.77
1760076473.6026254,100.0,29.7,62.2,-5.7
1760076474.6530006,100.0,29.7,62.2,-5.77
1760076475.7250748,100.0,30.1,62.0,-5.87
1760076476.775366,100.0,30.1,62.0,-5.75
1760076477.8636582,100.0,30.3,61.9,-5.79
1760076478.9072967,100.0,30.3,61.9,-5.78
1760076479.9836252,100.0,29.7,62.2,-5.73
1760076481.0316737,100.0,29.7,62.2,-5.78
1760076482.1051197,100.0,30.3,61.9,-5.8
1760076483.1608908,100.0,30.3,61.9,-5.86
1760076484.2352333,100.0,30.2,62.0,-5.82
1760076485.285198,100.0,30.2,62.0,-5.8
1760076486.3631256,100.0,30.3,61.9,-5.87
1760076487.4149728,100.0,30.3,61.9,-5.72
1760076488.4898221,100.0,30.3,61.8,-5.83
1760076489.5373108,100.0,30.3,61.8,-5.76
1760076490.6191022,100.0,30.1,62.0,-5.78
1760076491.6678429,100.0,30.1,62.0,-5.77
1760076492.7448583,100.0,29.9,62.1,-5.83
1760076493.795242,100.0,29.9,62.1,-5.87
1760076494.868721,100.0,29.7,62.2,-5.79
1760076495.9178698,100.0,29.7,62.2,-5.81
1760076496.9985054,100.0,30.0,62.0,-5.91
1760076498.047441,100.0,30.0,62.0,-5.81
1760076499.1254942,100.0,30.1,62.0,-6.02
1760076500.1760032,100.0,30.1,62.0,-5.85
1760076501.2498386,100.0,29.9,62.1,-5.77
1760076502.3035686,100.0,29.9,62.1,-5.83
1760076503.3801374,100.0,30.1,62.0,-5.84
1760076504.425301,100.0,30.1,62.0,-5.74
1760076505.5052364,100.0,30.0,61.9,-5.94
1760076506.5549383,100.0,30.0,61.9,-5.9
1760076507.6341405,100.0,30.3,61.7,-5.89
1760076508.6855843,100.0,30.3,61.7,-5.79
1760076509.7609482,100.0,29.7,62.1,-5.85
1760076510.8090785,100.0,29.7,62.1,-5.84
1760076511.8884087,100.0,29.9,61.9,-5.87
1760076512.9392412,100.0,29.9,61.9,-5.76
1760076514.0162628,100.0,30.2,61.9,-5.93
1760076515.0650299,100.0,30.2,61.9,-5.86
1760076516.1350405,100.0,29.7,62.0,-5.85
1760076517.1932418,100.0,29.7,62.0,-5.76
1760076518.2654822,100.0,30.0,61.8,-5.85
1760076519.3187768,100.0,30.0,61.8,-5.86
1760076520.394905,100.0,30.3,61.7,-5.83
1760076521.480194,100.0,30.3,61.7,-5.86
1760076522.522335,100.0,30.0,61.8,-5.81
1760076523.5666287,100.0,30.0,61.8,-5.79
1760076524.6449172,100.0,30.2,61.8,-5.83
1760076525.7003503,100.0,30.2,61.8,-5.82
1760076526.774987,100.0,29.9,61.9,-5.75
1760076527.8281653,100.0,29.9,61.9,-5.82
1760076528.8998413,100.0,30.0,61.8,-5.81
1760076529.954947,100.0,30.0,61.8,-5.77
1760076531.0351527,100.0,30.1,61.8,-5.8
1760076532.0801458,100.0,30.1,61.8,-5.82
1760076533.1552289,100.0,29.9,61.9,-5.78
1760076534.2051427,100.0,29.9,61.9,-5.81
1760076535.283666,100.0,30.2,61.8,-5.85
1760076536.3350194,100.0,30.2,61.8,-5.84
1760076537.4049375,100.0,29.7,62.1,-5.7
1760076538.4620218,100.0,29.7,62.1,-5.81
1760076539.5386276,100.0,30.3,61.8,-5.83
1760076540.5893223,100.0,30.3,61.8,-5.83
1760076541.6651666,100.0,30.3,61.8,-5.81
1760076542.716801,100.0,30.3,61.8,-5.76
1760076543.7848861,100.0,30.1,61.9,-5.75
1760076544.8351173,100.0,30.1,61.9,-5.81
1760076545.9150534,100.0,29.9,61.9,-5.74
1760076546.9648063,100.0,29.9,61.9,-5.66
1760076548.0462387,100.0,30.3,61.7,-5.81
1760076549.09816,100.0,30.3,61.7,-5.75
1760076550.1736069,100.0,30.2,61.8,-5.84
1760076551.22498,100.0,30.2,61.8,-5.77
1760076552.3008842,100.0,30.1,61.8,-5.83
1760076553.3507998,100.0,30.1,61.8,-5.72
1760076554.427405,100.0,30.2,61.8,-5.7
1760077510.731602,100.0,28.6,65.6,0
1760077511.250754,100.0,28.6,65.6,0
1760077511.756213,100.0,29.5,63.9,0
1760077512.2750597,100.0,29.5,63.9,0
1760077512.8050396,100.0,29.5,63.8,0
1760077513.3294115,100.0,29.5,63.8,0
1760077513.8604136,100.0,29.5,63.7,0
1760077514.364589,100.0,29.5,63.7,0
1760077514.885001,100.0,29.4,63.8,0
1760077515.934813,100.0,29.4,63.8,0
1760077517.0100636,100.0,29.5,63.5,0
1760077518.0640736,100.0,29.5,63.5,0
1760077519.134913,100.0,29.6,63.4,0
1760077520.1852467,100.0,29.6,63.4,0
